,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
6478,Hebei University of Science and Technology,Wegian University of Science and Technology,92,85
7620,"Shanghai Institute of Materia Medica, Chinese Academy of Sciences",Shanghai Institute of Ceramics Chinese Academy of Sciences,91,80
1182,Jinan University,Jiangnan University,91,91
1825,Jinan University,Hainan University,91,91
4263,"Pink Elephant, Inc",Pink Elephant Inc,97,100
7956,"Pink Elephant, Inc",Pink Elephant Inc,97,100
1509,East Tennessee State University,East Tennessee State University,100,100
492,Nettuno University,Nettuno University,100,100
4712,City University Business School,University Business School,91,91
5290,City University Business School,University Business School,91,91
6243,City University Business School,City University Business School,100,100
6441,City University Business School,City University Business School U.K,94,94
6506,City University Business School,City University Business School,100,100
6348,Lusófona University,Lusófona University,100,100
2240,Eric Sprott School of Business,Sprott School of Business,91,91
7471,Poynton and Partners,Poynton and Partners,100,100
6525,Pacific Lutheran University,Pacific Lutheran University,100,100
7869,McMaster University,Mcmaser University,97,97
6694,Anderson Consulting,Andersen Consulting,95,95
3380,Telecom Ecole de Management,Télécom Ecole de Management (TEM),83,93
3798,Telecom Ecole de Management,Telecom Ecole de Management,100,100
3303,Southampton Business School,Southampton Business School,100,100
6058,Southampton Business School,Southampton Business School,100,100
6777,Purdue University,Purdue Universit,97,97
2174,Flint Transfield Services Ltd. (FT-Services,Flint Transfeld Services Ltd (FT-SERVICES,98,99
7760,Information Systems,Information Systems,100,100
9150,Information Systems,Information Systems (IS,90,93
990,Templeton College,Templeton College,100,100
5162,INNOVALOR BV,InnoValor B.V.,92,88
5597,Huaihai Institute of Technology,Huaiyin Institute of Technology,94,94
4455,Copenhangen Business School,Copenhagen Business School,98,98
5024,Copenhangen Business School,Copenhagen Busness School,96,96
1942,University of Southern New Hampshire,Southern New Hampshire University,64,96
4478,Tallinn University of Technology,Tianjin University of Technology,91,75
6627,Tallinn University of Technology,Tainan University of Technology,95,95
8140,Tallinn University of Technology,Taiyuan University of Technology,91,91
2189,MMU,MMU,100,100
1317,Institute of Psychology Chinese Academy of Sciences,Institute of Oceanology Chinese Academy of Sciences,92,82
628,Nanjing University of Science and Technology,University of Science and Technology Beijing,82,93
1084,Nanjing University of Science and Technology,Kunming University of Science and Technology,93,93
1090,Nanjing University of Science and Technology,Jiangsu University of Science and Technology,93,93
1117,Nanjing University of Science and Technology,Shaanxi University of Science and Technology,91,82
1193,Nanjing University of Science and Technology,Qingdao University of Science and Technology,91,86
1227,Nanjing University of Science and Technology,Hunan University of Science and Technology,93,93
1318,Nanjing University of Science and Technology,Harbin University of Science and Technology,92,92
1590,Nanjing University of Science and Technology,AGH University of Science and Technology,93,88
2576,Nanjing University of Science and Technology,Shandong University of Science and Technology,92,81
2672,Nanjing University of Science and Technology,Wuhan University of Science and Technology,91,84
2742,Nanjing University of Science and Technology,Takming University of Science and Technology,93,82
3535,Nanjing University of Science and Technology,Namibia University of Science and Technology,91,91
4122,Nanjing University of Science and Technology,Chongqing University of Science and Technology,91,91
4529,Nanjing University of Science and Technology,University of Science and Technology Liaoning,81,94
4734,Nanjing University of Science and Technology,China University of Science and Technology,91,91
5072,Nanjing University of Science and Technology,Tianjin University of Science & Technology,91,76
5162,Nanjing University of Science and Technology,Xi'an University of Science and Technology,91,88
5278,Nanjing University of Science and Technology,Anhui University of Science and Technology,93,93
5407,Nanjing University of Science and Technology,Jinwen University of Science and Technology,92,92
6952,Nanjing University of Science and Technology,Taiyuan University of Science and Technology,91,82
7362,University of Michigan's School of Business Administration,University of Michigan School of Business Admznistration,96,96
3110,Price Waterhouse,Price Waterhouse,100,100
3132,Price Waterhouse,Price Waterhouse,100,100
2886,Centro de Investigación y Docencia Económicas (CIDE),Centro de Investigación y Docencia Económicas (CIDE),100,100
2963,Centro de Investigación y Docencia Económicas (CIDE),Centro de Investigación Y Docencias Económicas,92,93
6474,Virginia Commonwealth University,Virginia Commonwealth University,100,100
136,Universidade Federal Rural de Pernambuco,Universidade Federal de Pernambuco,92,92
1795,Novay,Novay,100,100
3059,Novay,Novay,100,100
4385,Senacor Technologies AG,Senacor Technologies AG,100,100
6324,Senacor Technologies AG,Senacor Technologies AG,100,100
7312,Senacor Technologies AG,Senacor Technologies AG,100,100
8247,Senacor Technologies AG,Senacor Technologies AG,100,100
5043,Shri Shankaracharya Institute of Technology and Management,Shri Sankaracarya Institute of Management and Technology,72,98
9926,Shri Shankaracharya Institute of Technology and Management,Shri Shankaracarya Institute of Technology and Management,99,99
9352,Yuhan College,Yuhan College,100,100
2324,Henry Ford Health System,Henry Ford Health Systems,98,98
7373,American Bureau of Shipping,American Bureau of Shipping,100,100
4537,AFAS Software,AFAS Sofware,96,96
5829,Loughborough University,Loughboroughx University,98,98
6880,Loughborough University,University of Loughborough,49,94
9557,Loughborough University,Loughborough Universiry,96,96
1769,Price Waterhouse & Co,Price Waterhouse,86,91
5140,Price Waterhouse & Co,Price Waterhouse,86,91
5162,Price Waterhouse & Co,Price Waterhouse,86,91
7128,PersonalGenomes.org,PersonalGenomes.org,100,100
9401,PersonalGenomes.org,Personalgenomes.org,100,100
1215,Suffolk University,University of Suffolk,51,92
2161,PricewaterhouseCoopers (PwC),PricewaterhouseCoopers,88,92
3499,PricewaterhouseCoopers (PwC),PricewaterhouseCoopers,88,92
7951,Sogang University,Sogang University,100,100
2492,Georgia Gwinett College,Georgia Gwinnett College,98,98
1103,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
1830,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
4311,Toyota InfoTechnology Center,Toyota InfoTechnology Center,100,100
8881,Beijing University of Posts and Telecommunications,Nanjing University of Post and TeleCommunications,93,93
5983,Institut des Sourds de Charlcsbourg Inc,Institut des sourds de Charlesbourg,92,92
7451,Qingdao University,MingDao University,94,94
8787,University of Limerick,University of Limerick,100,100
2723,Deloitte,Deloitte,100,100
9260,Ryerson University,Ryerson University,100,100
9953,Ryerson University,Ryerson University,100,100
9998,Kookmin University,Kookmin University,100,100
23,University Healthcare System,University Health Care System,98,84
9428,ISS International Business School of Service Management,International Business School of Service Management,96,96
8211,National Central University,National Central University,100,100
8873,School of Business,School of Business,100,100
9405,School of Business,School of Business,100,100
9454,School of Business,School of Business,100,100
8185,University of Western,Western University,51,92
6284,Hunan University,Khulna University,91,91
7050,Hunan University,Hannan University,91,91
723,Northwestern University,Northeastern University,96,96
5428,Northwestern University,North-West University,91,73
100,CEO,CEO,100,100
7062,P and Q Consulting,S and P Consulting,89,94
6263,Research Department,Research Department,100,100
3291,University of St. Gallen,University of St. Gallen,100,100
4150,University of St. Gallen,University of St. Gallen,100,100
9156,Université du Québec á Trois-RiviéresUSA,Université du Québec à Trois-Riviàres,91,96
7931,Microsoft Deutschland GmbH,Microsoft Deutschland GmbH,100,100
8988,University of Wales,University of Wales,100,100
2539,Boise State University,BOISE STATE UNIVESITY,98,98
8072,Capgemini Consulting,Capgemini Consulting,100,100
5162,Shih Hsin University,Shih Chien University,93,93
5678,Shih Hsin University,Shih Chien University,93,93
4260,Sami Shamoon College of Engineering,Shamoon College of Engineering,92,92
7734,Yuan-Pei University of Science and Technology,Taiyuan University of Science and Technology,92,81
832,"Inje University, College of Medicine","Inha University, College of Medicine",94,94
7203,"Inha University, College of Medicine","Hallym University, College of Medicine",92,92
1267,Heilbronn Business School,Heilbronn Business School,100,100
2417,MIS,MIS,100,100
3651,MIS,MIS,100,100
8811,University Guglielmo Marconi,University Guglielmo Marconi,100,100
9639,University Guglielmo Marconi,University of Guglielmo Marconi,95,95
884,Inst. für Wirtschaftsinformatik,Institut für Wirtschaftsinformatik,92,94
8869,"Rossmoore Associates, Inc","Rossmoore Associates, Inc.",98,100
3569,School of Business Administration,School of Business Administration,100,100
6750,Jiangxi Normal University,Guangxi Normal University,92,92
8183,Jiangxi Normal University,Jiangxi Normal University,100,100
8017,Bryant College,Bryant College,100,100
5006,DEKRA Automobil GmbH,DEKRA Automobil GmbH,100,100
175,Information Systems,Information Systems,100,100
1547,Hanyang University,Hainan University,91,91
8570,Johns Hopkins Hospital,John Hopkins Hospital,98,98
6454,UWV,UWV,100,100
1837,University of East London,University of West London,96,80
1520,Nanya Institute of Technology Taiwan,Nan-Tai Institute of Technology,84,93
7027,Price Waterhouse,Price Waterhouse & Co,86,91
7967,Price Waterhouse,Price Waterhouse UP,91,91
9556,Price Waterhouse,Price Waterhouse,100,100
8893,University of Liechtenstein,University of Liechtenstein,100,100
875,Istituto Superiore Mario Boella,Instituto Superiore Mario Boella (ISMB,90,91
3425,Global Institute for IT Management,Global Institute for IT Management LLC,94,94
5907,Al Akhawayn University,Al Akhawayan University,98,98
3480,Soroka University Medical Center,Loyola University Medical Center,91,78
6531,Bosch Software Innovations GmbH,Bosch Software Innovation GmbH,98,98
3906,National Taiwan University,National Ilan University Taiwan,81,91
9771,Yongin University,Kyonggi University,91,57
899,Queens University of Charlotte,Queens University of Charlotte,100,100
9754,European Research Center for Information Systems,ERCIS - European Research Center for Information Systems,92,94
7566,Bryant College,Bryant College,100,100
8318,Bryant College,Bryant College,100,100
6690,Loyola University,Loyola University,100,100
6868,Loyola University,Loyola University,100,100
8053,Loyola University,Loyola University,100,100
8980,Loyola University,Loyola University,100,100
6538,University of East Anglia,University of East Anglia,100,100
4935,Caramba Labs. Software AG,Caramba Labs Software Ag,98,100
2409,University of Shanghai for Science and Technology,Shanghai Science and Technology University,68,92
4954,University of Shanghai for Science and Technology,University of Venda for Science and Technology,91,84
7368,Beijing Institute of Technology,Beijing Institute of Biotechnology,95,62
1082,EBS Business School,EBS Business School,100,100
1540,EBS Business School,IESE Business School,92,92
4214,EBS Business School,EBS Business School,100,100
7070,Xamax Consultancy Pty Ltd,XamaX Consultancy Pty. Ltd.,96,100
230,College of Information Sciences and Technology,College of Information Science and Technology,99,99
9155,National Defense University,National Defense University,100,100
6907,Augustana University,Augusta University,95,95
1803,Faculty of Engineering,Faculty of Engineering,100,100
8787,Sichuan University,Yichun University,91,57
3385,European Business School (EBS,European Business School (Ebs,100,100
4320,European Business School (EBS,European Business School (EBS,100,100
1210,Hefei University of Technology,Hebei University of Technology,97,97
5798,Hefei University of Technology,Hubei University of Technology,93,93
5035,Hanyang University,Hannan University,91,91
8032,Hanyang University,Hanyang University,100,100
8152,Hanyang University,Hanyang University,100,100
5072,ESSEC Business School,IESE Business School,93,93
6876,ESSEC Business School,ESSEC Business School,100,100
7182,ESSEC Business School,IESE Business School,93,93
9157,Donghae University,Donghae University,100,100
9395,Donghae University,Dong-A University,91,86
9932,Donghae University,Donghua University,94,94
7252,Konkuk University,Kongkuk University,97,97
9422,University of Cincinnat,University of Cincinatti,94,94
3272,PricewaterhouseCoopers,Pricewaterhouse Coopers,98,67
3990,PricewaterhouseCoopers,PricewaterhouseCoopers (PwC),88,92
4079,PricewaterhouseCoopers,PricewaterhouseCoopers,100,100
5417,PricewaterhouseCoopers,PricewaterhouseCoopers,100,100
6382,PricewaterhouseCoopers,PricewaterhouseCoopers LLP,92,92
6637,PricewaterhouseCoopers,PricewaterhouseCoopers NV,94,94
198,Massey University,Massey Unviersity,94,94
1879,Hunan University,Henan University,94,94
3206,Hunan University,Yunnan University,91,61
3562,Hunan University,Hainan University,91,91
300,Jiangsu University of Science and Technology,AGH University of Science and Technology,93,88
1382,Jiangsu University of Science and Technology,Wuhan University of Science and Technology,91,84
1452,Jiangsu University of Science and Technology,Takming University of Science and Technology,91,82
1708,Jiangsu University of Science and Technology,Macau University of Science and Technology,91,91
2531,Jiangsu University of Science and Technology,Jordan University of Science and Technology,92,92
3239,Jiangsu University of Science and Technology,University of Science and Technology Liaoning,81,92
3243,Jiangsu University of Science and Technology,Changchun University of Science and Technology,91,91
3444,Jiangsu University of Science and Technology,China University of Science and Technology,91,91
3872,Jiangsu University of Science and Technology,Xi'an University of Science and Technology,93,88
3988,Jiangsu University of Science and Technology,Anhui University of Science and Technology,93,93
4117,Jiangsu University of Science and Technology,Jinwen University of Science and Technology,92,92
5662,Jiangsu University of Science and Technology,Taiyuan University of Science and Technology,91,82
6064,Jiangsu University of Science and Technology,Wegian University of Science and Technology,92,83
4160,London School of Economics and Political Science,Locdon School of Economics and Political Science,98,98
6175,London School of Economics and Political Science,The London School of Econmocis and Political Science,92,92
5735,Jiangnan University,Lingnan University,92,92
3496,Chongqing Youth Vocational and Technical College,Chongqing Youth Vocational & Technical College,96,96
8098,Chongqing Youth Vocational and Technical College,Chongqing Youth Vocational and Technical College,100,100
297,"Arthur D Little, Inc.","Authur D. Little, Inc.",93,95
4284,Université de Strasbourg,Université de Strasboug,98,98
1358,Bogaziçi Üniversitesi,Gazi Üniversitesi,89,91
754,Korea Institute of SandT Evaluation and Planning,Korea Institute of S&T Evaluation and Planning,96,96
3844,Institute of Technology,Institute of Technology,100,100
4521,Institute of Technology,Mauá Institute of Technology,90,92
6635,Dali University,Dalian University,94,94
6854,HYVE AG,Hyve AG,100,100
380,GX Software,GX Software,100,100
2386,Deloitte,Deloitte,100,100
3125,Deloitte,Deloitte,100,100
9488,VitalHealth Software,VitalHealth Software,100,100
1807,Fujian University of Technology,Jiangsu University of Technology,92,92
2448,Fujian University of Technology,Zhejiang University of Technology,91,75
3403,Fujian University of Technology,Wuhan University of Technology,92,79
3615,Fujian University of Technology,Hunan University of Technology,92,92
44,Management Information Systems,Management Information Systems,100,100
535,Management Information Systems,Management Information Systems,100,100
6333,Yuhan College,Yuhan College,100,100
9857,University of Incheon,University of Incheon,100,100
8815,University of Colorado at Colorado Springs,University of Colorado in Colorado Springs,95,93
5052,"Zhejiang Xinrui Welding Material Co., Ltd","Zhejiang Xinrui Welding Material Co., Ltd",100,100
61,Taiyuan University of Science and Technology,Wegian University of Science and Technology,92,83
3406,Vital Health Software,VitalHealth Software,98,68
7784,Vital Health Software,VitalHealth Software,98,68
5932,Indiana University Southeast,University Southern Indiana,65,91
3431,IBM,IBM,100,100
8099,College of Business Administration,College of Business Administration,100,100
9938,College of Business Administration,College of Business Administration,100,100
9234,Louisiana Tech University,Louisianna Tech University,98,98
3043,University of Liechtenstein,Liechtenstein University,51,94
3463,University of Liechtenstein,University of Lichtenstein,98,98
4241,University of Liechtenstein,Liechtenstein University,51,94
8587,University of Liechtenstein,University of Liechtenstein,100,100
9090,University of Liechtenstein,University of Liechtenstein,100,100
9863,University of Liechtenstein,University of Liechtenstein,100,100
6649,China University of Political Science and Law,East China University of Political Science and Law,95,95
6742,MIS,MIS,100,100
7976,MIS,MIS,100,100
5455,Kasetsart University,Kasetsart University,100,100
3098,Chinese Center for Disease Control and Prevention,Centers for Disease Control and Prevention,90,92
8658,Hebei University,Hefei University,94,94
2387,Technische Universität Mönchen,Technische Universität Mönchen,100,100
3257,Technische Universität Mönchen,Technische Universitï¿½t Mï¿½nchen,88,100
4475,Technische Universität Mönchen,Technische Universität Mülnchen,95,98
796,CyberMedia,Cybermedia,100,100
7088,Texas A and M International University,Texas AandM International University,97,95
7892,Texas A and M International University,Texas A/M International University,92,94
9920,Texas A and M International University,Texas AandM International University,97,95
4743,University of Texas at Austin,University of Texas at San,91,80
8700,University of Texas at Austin,University of Austin at Texas,76,100
3239,Electronic Data Systems,Electronic Data Systems,100,100
2758,Roland Berger Strategy Consultants,Roland Berger Strategy Consultants,100,100
3296,Roland Berger Strategy Consultants,Roland Berger Strategy Consultants,100,100
705,University of Mississippi,University of Mississippi,100,100
1942,Hewlett-Packard Ltd.,Hewlett-Packard Ltd,97,100
8402,Wegian University of Science and Technology,Norwegian University of Science and Technology,97,81
8406,Wegian University of Science and Technology,Norwegian University of Science and Technology,97,81
8484,Wegian University of Science and Technology,Mongolian University of Science and Technology,92,81
4749,Wuhan University of Science and Technology,Takming University of Science and Technology,91,84
5828,Wuhan University of Science and Technology,Jordan University of Science and Technology,92,85
6540,Wuhan University of Science and Technology,Changchun University of Science and Technology,91,82
6741,Wuhan University of Science and Technology,China University of Science and Technology,93,86
7169,Wuhan University of Science and Technology,Xi'an University of Science and Technology,93,88
7285,Wuhan University of Science and Technology,Anhui University of Science and Technology,93,86
7374,Wuhan University of Science and Technology,Yuan-Pei University of Science and Technology,92,92
7414,Wuhan University of Science and Technology,Jinwen University of Science and Technology,92,85
8959,Wuhan University of Science and Technology,Taiyuan University of Science and Technology,93,84
9361,Wuhan University of Science and Technology,Wegian University of Science and Technology,94,94
6608,FOM University of Applied Sciences,University of Applied Sciences (FH),87,96
7127,FOM University of Applied Sciences,University of Applied Sciences,94,94
8108,FOM University of Applied Sciences,Fontys University of Applied Sciences,93,93
150,School of Management,School of Management,100,100
602,School of Management,School Management,92,92
716,School of Management,School of Management,100,100
3297,HYVE AG,HYVE AG,100,100
3332,HYVE AG,Hyve AG,100,100
8377,University of,University of,100,100
8793,University of,University of,100,100
9215,University of,University of,100,100
1812,Henley Business School,Henley Business School,100,100
3349,ESC Rennes School of Business,ESC Rennes School of Business,100,100
3520,University of Portland,University of Porland,98,98
6239,University of Portland,University of Nordland,91,77
5762,Ernst and Young Centre for Business Innovation,Ernst and Young Center for Business Innovation,98,98
1278,University of Zaragoza,University of Zaragoza,100,100
5593,Pukyong National University,Hankyong National University,91,69
82,B and C Biopharm,B and C Biopharm,100,100
8859,Myongji University,Tongji University,91,91
2494,Hong Kong Baptist University,Hong Kong Baptist Universit,98,98
6318,Irish Software Engineering Centre,Lero - Irish Software Engineering Centre,90,93
2398,University of Southern Colorado,University of Southern Colorado,100,100
829,Manukau Institute of Technology,Mauá Institute of Technology,92,93
2423,Georgia Gwinnett College,Georgia Gwinett College,98,98
3771,Georgia Gwinnett College,Georgia Gwinnett College,100,100
2354,Yarmouk University,Yarmouk University,100,100
15,School of Business,School of Business,100,100
5683,Stanford University,Samford University,92,92
767,Liechtenstein University,University of Liechtenstein,51,94
4526,Blue Martini Software,Blue Martini Software,100,100
3209,Research Center for Information Technology,FZI Research Center for Information Technology,95,95
2087,Carlow University,Cairo University,91,91
6251,Waseda Business School,Waseda Business School,100,100
3833,Oregon State University,Morgan State University,91,91
3778,Southern Denmark University,University of Southern Denmark,56,95
2520,University of Malaysia,University of Malaysia,100,100
2163,INSEAD,INSEAD,100,100
3415,INSEAD,INSEAD,100,100
7836,Southeastern University,Southeastern University,100,100
9328,Southeastern University,Southeastern University,100,100
6624,Deloitte Services LP,Deloitte Services LP,100,100
8226,Deloitte Services LP,Deloitte Services,92,92
7063,University of Applied Sciences (FH),University of Applied Sciences,92,95
8044,University of Applied Sciences (FH),Fontys University of Applied Sciences,83,91
8760,IT-University,EMIT University,86,93
8859,IT-University,IE University,85,92
4994,School Information Management and Systems,School of Management Information Systems,74,91
7238,School Information Management and Systems,Management and Information Systems,59,91
3773,Certus Technology Associates Ltd,Certus Technology Associates,93,93
8782,Pricewaterhouse Coopers,PricewaterhouseCoopers,98,67
1731,Loughborough School of Business and Economics,Loughborough School of Business and Economics,100,100
5871,University of Pittsburgh,PITTSBURGH UNIVERSITY OF,54,100
6114,Université du Québec à Montréal,Université Ddu Québec à Montréal,98,98
3415,Myongji University,Yongin University,91,57
2146,Loughborough University,Loughborough Universiry,96,96
2184,Independent Researcher,Independent Researcher,100,100
4216,Guangdong University of Technology,Shandong University of Technology,93,84
2496,IT University,IT University,100,100
4210,IT University,City University,93,93
4830,IT University,IT-University,92,100
5475,IT University,EMIT University,93,93
5574,IT University,IE University,92,92
2523,E-Finance Lab,E-Finance Lab.,96,100
5435,School of Management,School of Management,100,100
7459,School of Management,School of Management,100,100
7516,School of Management,School of Management,100,100
8028,School of Management,School Management,92,92
8486,School of Management,School of Management,100,100
9436,Tulane University,Ulsan University,91,91
2637,Universite du Quebec a Trois Riveres,Université du Québec à Trois-Riviàres,85,91
2424,Concordia University,Université Concordia,45,97
339,Shenyang University of Technology,Zhejiang University of Technology,91,73
972,Shenyang University of Technology,Shandong University of Technology,91,91
1506,Shenyang University of Technology,Hunan University of Technology,92,83
2604,Shenyang University of Technology,Choayang University of Technology,91,82
279,Wuhan University of Science and Technology,Norwegian University of Science and Technology,91,82
283,Wuhan University of Science and Technology,Norwegian University of Science and Technology,91,82
6166,Yonsei University,Hosei University,91,61
2278,Jersey Institute of Technology,Newjersey Institute Of Technology,95,95
1876,INSEAD,INSEAD,100,100
2827,INSEAD,INSEAD,100,100
5114,INSEAD,INSEAD,100,100
6366,INSEAD,INSEAD,100,100
202,Chungnam National University,Chonnam National University,95,95
9118,Iowa State University,Winona State University,91,73
5817,Norwegian Police University College,Norwegian Police University College,100,100
4458,Universite Concordia,Concordia University,45,95
6362,Universite Concordia,Concordia University,45,95
7316,Universite Concordia,Concordia University,45,95
7410,Universite Concordia,Concordia University,45,95
7694,Universite Concordia,Université Concordia,95,97
531,ESSEC Business School,ESSCA Business School,95,95
4199,Deloitte Research,Deloitte Research,100,100
9577,School of Public Policy and Management,Heinz School of Public Policy and Management,93,93
4001,Chongqing Youth Vocational & Technical College,Chongqing Youth Vocational and Technical College,96,96
2455,University of Houston-Clear Lake,University of Houston-Clear Lake,100,100
9917,Karlsruhe Institute for Technology,Karlsruhe Institute of Technology,96,90
1023,Nanjing College of Chemical Technology,Nanjing College of Chemical Technology,100,100
9211,V.Associates,Associates,91,91
495,National Defense University,National Defense University,100,100
6861,Dickson Computer System,Dickson Computer Systems,98,98
2087,Università degli Studi di Pavia,Università degli Studi di Parma,94,93
2566,Università degli Studi di Pavia,Università degli Studi di Bari,92,81
5903,Università degli Studi di Pavia,Università degli Studi di Catania,91,77
8479,Università degli Studi di Pavia,Università degli Studi di Perugia,91,90
5182,Jinwen University of Science Technology,Jinwen University of Science and Technology,95,95
3955,Kyung Hee Cyber University,Kyung Hee Cyber University,100,100
4872,School of Electrical Engineering and Computer Science,School of Electrical Engineering and Computer Science,100,100
9863,State College,State College,100,100
31,University of Liechtenstein,University of Liechtenstein,100,100
534,University of Liechtenstein,University of Liechtenstein,100,100
1307,University of Liechtenstein,University of Liechtenstein,100,100
160,University of the South Pacific,University of South Pacific,93,93
678,European Research Center for Information Systems (ERCIS),European Research Center for Information Systems (ERCIS),100,100
2240,European Research Center for Information Systems (ERCIS),European Research Center for Information Systems,92,94
2609,European Research Center for Information Systems (ERCIS),ERCIS - European Research Center for Information Systems,86,100
7516,Naval Research Laboratory,Vancl Research Laboratory,92,76
3289,Southern Taiwan University of Science and Technology,Southern Taiwan University of Science and Technology,100,100
9676,Yuhan College,Yuhan College,100,100
3633,Fortune Institute of Technology Taiwan,Tatung Institute of Technology Taiwan,91,80
462,TU,TU,100,100
599,TU,TU,100,100
8699,Management Information Systems,Management and Information Systems,94,94
726,Ministry of Finance,Ministry of Finance,100,100
500,University of St. Gallen,University of St. Gallen,100,100
2468,University of St. Gallen,University of St. Gallen,100,100
4537,University of St. Gallen,University of St. Gallen,100,100
5396,University of St. Gallen,University of St. Gallen,100,100
8951,Wuhan University of Technology,Hunan University of Technology,93,80
9919,Wuhan University of Technology,Durban University of Technology,92,79
9339,Inje University,IE University,93,93
6251,SIM University,SIM University,100,100
970,Eco-Technology Center,Eco-Technology Center,100,100
9988,Bentley College,Bentley College,100,100
9859,Jiangsu University of Science and Technology,Changsha University of Science and Technology,92,92
9903,Jiangsu University of Science and Technology,Qingdao University of Science and Technology,91,86
9937,Jiangsu University of Science and Technology,Hunan University of Science and Technology,91,91
1582,China University of Science and Technology,Xi'an University of Science and Technology,93,88
1698,China University of Science and Technology,Anhui University of Science and Technology,93,93
1743,China University of Science and Technology,Hebei University of Science and Technology,93,93
1827,China University of Science and Technology,Jinwen University of Science and Technology,92,92
2591,China University of Science and Technology,University of Science and Technology of Chi,85,94
2993,China University of Science and Technology,Chien Hsin University of Science and Technology,92,92
3372,China University of Science and Technology,Taiyuan University of Science and Technology,91,84
3774,China University of Science and Technology,Wegian University of Science and Technology,92,85
8376,China University of Technology,North China University of Technology,91,91
3235,Southwest China Normal University,South China Normal University,94,94
7730,USTC-CityU Advanced Joint Research Centre,USTC-CityU Joint Advanced Research Center,83,98
7935,USTC-CityU Advanced Joint Research Centre,USTC-CityU Joint Advanced Research Center,83,98
8459,USTC-CityU Advanced Joint Research Centre,USTC-CityU Joint Advanced Research Centre,85,100
8722,USTC-CityU Advanced Joint Research Centre,USTC-CityU Joint Advanced Research Center,83,98
7887,F4energy Ltd.,F4energy Ltd,96,100
5086,Georgia Southern University,Georgia Southern University,100,100
483,University of Cincinnat,University of Cinncinnati,96,96
6192,Kalsruhe Institute of Technology (KIT),Karlsruhe Institute of Technology,90,93
4445,State University,State University,100,100
2438,IBM,IBM,100,100
6284,IBM,IBM,100,100
7381,IBM,IBM,100,100
9294,Università degli Studi di Trento,Università degli Studi di Genova,91,77
6121,American University of the Middle East,American University of Middle East,94,94
1201,Università degli Studi di Parma,Università degli Studi di Bari,92,81
7114,Università degli Studi di Parma,Università degli Studi di Perugia,91,90
7633,Università degli Studi di Parma,Università degli Studi di Palermo,94,94
3699,Kemi-Tornio University of Applied Science,Kemi-Tornio University of Applied Sciences,99,99
4148,University of the West Indies,University of the West Indies,100,100
8230,University of the West Indies,University of the West Indies,100,100
8560,University of the West Indies,University of the West Indie,98,98
9098,Min-Sheng General Hospital,Min-Sheng General Hospital,100,100
5917,St John's University,St. John's University,98,100
5918,St John's University,St. John's University,98,100
1445,Universiti Malaysia Sarawak,University of Malaysia Sarawak,91,91
615,Technische Universitï¿½t Mï¿½nchen,Technische Universität Mülnchen,86,98
6089,VP Business Development,EBusiness Development,91,55
2354,Cheung Kong Graduate School of Business,Cheung Kong Graduate School of Business,100,100
7617,City University of Hong Kong,The University of Hong Kong,91,84
5788,Bentley University,Bentley University,100,100
1681,National Central University,National Central University,100,100
3909,Lanzhou University,Yangzhou University,92,54
5691,Appalachian State University,Appalachien State University,96,96
8816,University of Adger,University of Agder,95,95
1326,York University,York University,100,100
2329,York University,York University,100,100
4313,York University,York University,100,100
2813,EBS Business School,IESE Business School,92,92
5487,EBS Business School,EBS Business School,100,100
2525,University of Tennessee at Martin,University of Tennessee Martin,95,95
2927,Price Waterhouse,Price Waterhouse,100,100
2949,Price Waterhouse,Price Waterhouse,100,100
502,School of Management,School Management,92,92
616,School of Management,School of Management,100,100
4933,Lehrstuhl für Wirtschaftsinformatik,Lehrst. fur Wirtschaftsinformatik,91,94
8230,University of Ohio,Ohio University,61,91
229,Deloitte Research,Deloitte Research,100,100
3632,Tongji University,Tonji University,97,97
3359,Macau University of Science and Technology,Namibia University of Science and Technology,91,91
3382,Macau University of Science and Technology,Malaysia University of Science and Technology,92,92
4357,Macau University of Science and Technology,Changchun University of Science and Technology,91,91
4558,Macau University of Science and Technology,China University of Science and Technology,93,93
5102,Macau University of Science and Technology,Anhui University of Science and Technology,93,93
6776,Macau University of Science and Technology,Taiyuan University of Science and Technology,91,84
3967,Tulane University,Tualne University,94,94
3057,College of Business,College of Business,100,100
3206,College of Business,College of Business,100,100
1792,The University of Tampa,The University of Tampa,100,100
4839,University of Science and Technology Liaoning,Heilongjiang University of Science and Technology,77,91
5433,University of Science and Technology Liaoning,Anhui University of Science and Technology,83,92
5562,University of Science and Technology Liaoning,Jinwen University of Science and Technology,82,91
1736,Infosys Ltd,Infosys Ltd,100,100
4426,Infosys Ltd,Infosys Ltd.,96,100
8624,MIS,MIS,100,100
4937,University of Science and Technology of Chi,Chien Hsin University of Science and Technology,80,91
1566,Stevens Institute of Technology,Stevens Institute of Technology,100,100
3194,University of Liechtenstein,University of Liechtenstein,100,100
4487,University of Liechtenstein,Liechtenstein University,51,94
4907,University of Liechtenstein,University of Lichtenstein,98,98
5685,University of Liechtenstein,Liechtenstein University,51,94
3897,Western Michigan University,Eastern Michigan University,96,70
8645,Universite Catholique de Louvain,Universite Catholique de Lyon,92,92
