,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
2419,Polaris Library Systems,Polaris Library Systems,100,100
6615,Critical Path Institute,CRITICAL PATH INSTITUTE,100,100
9631,University of Waterloo,University of Waterlo,98,98
112,Michigan Technological University,Michigan Technological State University,92,92
2338,Ohio Northern University,Northern University of,83,91
474,HYVE AG,HYVE AG,100,100
1646,HYVE AG,HYVE AG,100,100
1681,HYVE AG,Hyve AG,100,100
5566,Shamoon College of Engineering,Sami Shamoon College of Engineering,92,92
7372,Shamoon College of Engineering,Shamoon College of Engineering,100,100
2328,Capgemini Consulting,Capgemini Consulting,100,100
2615,Capgemini Consulting,Capgemini Consulting,100,100
6877,Faculty of Medicine,Faculty of Medicine,100,100
8488,College of Business Administration,College of Business Administration,100,100
8814,College of Business Administration,College of Business Administration,100,100
9000,College of Business Administration,College of Business Administration,100,100
9235,College of Business Administration,College of Business Administration,100,100
8908,Center for Telecom Management (CTM,Center for Telecom Management,92,94
7810,Tunghai University,Tunghai University,100,100
6303,University of Tennessee at Chattanooga,The University of Tennessee at Chattanooga,95,95
8731,Texas Woman’s University,Texas Women’s University,96,96
2987,Center for Creative Leadership,Center for Creative Leadership,100,100
3374,Center for Creative Leadership,Center for Creative Leadership,100,100
5587,Center for Creative Leadership,Center for Creative Leadership,100,100
669,University of Arizona,Arizona University,51,92
9853,University of Science and Technology Beijing,Kunming University of Science and Technology,82,91
9859,University of Science and Technology Beijing,Jiangsu University of Science and Technology,82,93
7643,Guangxi Normal University,Jiangxi Normal University,92,92
7,Università degli Studi di Genova,Università degli Studi di Siena,92,92
5118,School of Business Administration,School of Business Administration,100,100
5477,School of Business Administration,School of Business Administration,100,100
1488,PetroChina Xinjiang Oilfield Company,Xinjiang Oilfield Company of PetroChina,67,96
7796,Hohai University,Hohai University,100,100
999,Heilongjiang University of Science and Technology,Wegian University of Science and Technology,91,78
1999,Heilongjiang University of Science and Technology,Mongolian University of Science and Technology,91,91
6139,Chongqing University of Technology,China University of Technology,91,91
5072,Avans University of Applied Sciences,University of Applied Sciences,91,91
5782,Avans University of Applied Sciences,Lapland University of Applied Sciences,92,92
4650,Hunan University of Science and Technology,Harbin University of Science and Technology,94,94
4922,Hunan University of Science and Technology,AGH University of Science and Technology,93,90
5005,Hunan University of Science and Technology,Cochin University of Science and Technology,92,92
5331,Hunan University of Science and Technology,University of Science and Technology,92,92
5908,Hunan University of Science and Technology,Shandong University of Science and Technology,92,83
6004,Hunan University of Science and Technology,Wuhan University of Science and Technology,95,86
6074,Hunan University of Science and Technology,Takming University of Science and Technology,91,84
6867,Hunan University of Science and Technology,Namibia University of Science and Technology,91,91
7153,Hunan University of Science and Technology,Jordan University of Science and Technology,92,92
7454,Hunan University of Science and Technology,Chongqing University of Science and Technology,91,91
7865,Hunan University of Science and Technology,Changchun University of Science and Technology,91,91
8066,Hunan University of Science and Technology,China University of Science and Technology,95,95
8494,Hunan University of Science and Technology,Xi'an University of Science and Technology,93,90
8610,Hunan University of Science and Technology,Anhui University of Science and Technology,93,93
8699,Hunan University of Science and Technology,Yuan-Pei University of Science and Technology,92,83
8739,Hunan University of Science and Technology,Jinwen University of Science and Technology,92,92
7481,Queen's School of Business,Queen's School of Business,100,100
3765,Deloitte Consulting LLP,Deloitte Consulting LLP,100,100
585,University of Ontario Institute of Technology,University of Ontario Institute of Technology,100,100
94,European University Viadrina,European University Viadrina,100,100
3986,Illinois Univ.,N. Illinois Univ.,90,93
6573,Management Information Systems,Management Information Systems,100,100
8268,Management Information Systems,Management and Information Systems,94,94
9613,Management Information Systems,Management Information Systems,100,100
9562,Hanze University of Applied Sciences,University of Applied Sciences,91,91
9735,Hanze University of Applied Sciences,University of Applied Sciences,91,91
8010,Beijing University of Technology,Tianjin University of Technology,91,75
8467,Beijing University of Technology,Jiangsu University of Technology,91,91
9108,Beijing University of Technology,Zhejiang University of Technology,92,74
9445,Kleinundpläcking GmbH,Kleinundpläcking GmbH,100,100
1512,Deloitte Services LP,Deloitte Services,92,92
6088,Telematica Instituut,Telematica Instituut,100,100
1398,School of Business,School of Business,100,100
2299,School of Business,School of Business,100,100
2831,School of Business,School of Business,100,100
2880,School of Business,School of Business,100,100
4706,Software Engineering Institute,Software Engineering Institute,100,100
1059,University of Limerick,University of Limerick,100,100
3002,Eastern Illinois University,Northeastern Illinois University,92,64
5134,Weber State University,Webster State University,96,96
3560,Goizueta Business School,Goizueta Business School,100,100
7220,University of Arkansas Medical Center,University of Kansas Medical Center,97,81
3631,Khalifa University of Science and Technology,Shaanxi University of Science and Technology,91,82
3741,Khalifa University of Science and Technology,Hunan University of Science and Technology,91,91
3832,Khalifa University of Science and Technology,Harbin University of Science and Technology,92,92
5186,Khalifa University of Science and Technology,Wuhan University of Science and Technology,91,84
5512,Khalifa University of Science and Technology,Macau University of Science and Technology,91,91
6049,Khalifa University of Science and Technology,Namibia University of Science and Technology,91,91
6072,Khalifa University of Science and Technology,Malaysia University of Science and Technology,92,92
7248,Khalifa University of Science and Technology,China University of Science and Technology,93,93
7676,Khalifa University of Science and Technology,Xi'an University of Science and Technology,91,86
7792,Khalifa University of Science and Technology,Anhui University of Science and Technology,91,91
7837,Khalifa University of Science and Technology,Hebei University of Science and Technology,91,91
8685,Khalifa University of Science and Technology,University of Science and Technology of Chi,83,92
9466,Khalifa University of Science and Technology,Taiyuan University of Science and Technology,91,82
3080,Temple University,Tempe University,97,97
1418,Midwestern State University,Midwedstern State University,98,98
4587,Korea Institute for Defense Analyses,Korea Institute for Defense Analyses,100,100
5432,Chung-Ang University,Chung-Ang University,100,100
5647,Chung-Ang University,Chang'an University,87,92
9155,Ruppin Academic Center,Ruppin Academic Center,100,100
993,State University,State University,100,100
695,Virginia Union University,Virginia Union University,100,100
1061,Sharif University of Technology,Shaanxi University of Technology,92,92
1249,Sharif University of Technology,Sharif University of Technology,100,100
7866,IESE Business School,EBS Business School,92,92
8349,IESE Business School,EBS Business School,92,92
8501,IESE Business School,ESSEC Business School,93,93
8807,IESE Business School,IESE Business School,100,100
7726,Lakehead University,Lakehead University,100,100
4514,National Cheng Kung University,National Chung-Chen University,83,93
7149,National Cheng Kung University,National Chun Chen University,85,92
9235,Templeton College,Templeton College,100,100
7948,Templeton College,Templeton College,100,100
4508,University of Miinster,University of Mönster,93,95
2871,Institut TELECOM,Insitut Telecom,97,97
3137,Institut TELECOM,Institut Télécom,88,93
4632,Senacor Technologies AG,Senacor Technologies AG,100,100
5567,Senacor Technologies AG,Senacor Technologies AG,100,100
1526,University of Augsbur,University of Auburn,93,93
5567,Takming University of Science and Technology,Namibia University of Science and Technology,91,82
6766,Takming University of Science and Technology,China University of Science and Technology,91,84
7194,Takming University of Science and Technology,Xi'an University of Science and Technology,91,84
7310,Takming University of Science and Technology,Anhui University of Science and Technology,91,84
8984,Takming University of Science and Technology,Taiyuan University of Science and Technology,93,93
4155,Loughboroughx University,University of Loughborough,48,92
6832,Loughboroughx University,Loughborough Universiry,94,94
584,Georgia Gwinnet College,Georgia Gwinnett College,98,98
4615,Georgia Gwinnet College,Georgia Gwinnett College,98,98
6073,Georgia Gwinnet College,Georgia Gwinett College,96,96
7421,Georgia Gwinnet College,Georgia Gwinnett College,98,98
5096,Hannan University,Anna University,94,94
6071,Hannan University,Hannam University,94,94
6177,Hannan University,Hanyang University,91,91
6297,Hannan University,Hanyang University,91,91
8009,Hannan University,Henan University,91,91
9692,Hannan University,Hainan University,94,94
5299,Capgemini Deutschland GmbH,Capgemini Deutschland GmbH,100,100
5522,Southern University of Science and Technology,Cochin University of Science and Technology,91,82
6521,Southern University of Science and Technology,Wuhan University of Science and Technology,92,83
